"","term_id","p_value","source","term_name","parents"
"57","GO:0001775","0.000732950152240456","GO:BP","cell activation","c(""GO:0009987"", ""GO:0032501"")"
"58","GO:0030162","0.000732950152240456","GO:BP","regulation of proteolysis","c(""GO:0006508"", ""GO:0051246"")"
"59","GO:0043068","0.000758379077884183","GO:BP","positive regulation of programmed cell death","c(""GO:0012501"", ""GO:0043067"", ""GO:0048522"")"
"60","GO:0045892","0.000758379077884183","GO:BP","negative regulation of DNA-templated transcription","c(""GO:0006351"", ""GO:0006355"", ""GO:1902679"")"
"61","GO:1903036","0.000758379077884183","GO:BP","positive regulation of response to wounding","c(""GO:0009611"", ""GO:0048584"", ""GO:1903034"")"
"62","GO:0030335","0.000776552396555234","GO:BP","positive regulation of cell migration","c(""GO:0016477"", ""GO:0030334"", ""GO:2000147"")"
"63","GO:0008283","0.000778270487264272","GO:BP","cell population proliferation","GO:0009987"
"64","GO:1902679","0.000778270487264272","GO:BP","negative regulation of RNA biosynthetic process","c(""GO:0010558"", ""GO:0032774"", ""GO:0051253"", ""GO:2001141"")"
"65","GO:0050867","0.000778270487264272","GO:BP","positive regulation of cell activation","c(""GO:0001775"", ""GO:0048522"", ""GO:0050865"", ""GO:0051240"")"
"66","GO:0032501","0.000778270487264272","GO:BP","multicellular organismal process","GO:0008150"
"67","GO:0031324","0.000811118249536879","GO:BP","negative regulation of cellular metabolic process","c(""GO:0009892"", ""GO:0031323"", ""GO:0044237"", ""GO:0048523"")"
"68","GO:0033993","0.000811118249536879","GO:BP","response to lipid","GO:0010033"
"69","GO:0072359","0.000837752849844898","GO:BP","circulatory system development","GO:0048731"
"70","GO:0052547","0.000860295876264024","GO:BP","regulation of peptidase activity","c(""GO:0030162"", ""GO:0051336"")"
"71","GO:0051100","0.000884210042191982","GO:BP","negative regulation of binding","c(""GO:0044092"", ""GO:0051098"")"
"72","GO:2000147","0.000935590910383867","GO:BP","positive regulation of cell motility","c(""GO:0040017"", ""GO:0048522"", ""GO:0048870"", ""GO:2000145"")"
"73","GO:0009653","0.000959318969463393","GO:BP","anatomical structure morphogenesis","c(""GO:0032502"", ""GO:0048856"")"
"74","GO:2000097","0.000972081243590194","GO:BP","regulation of smooth muscle cell-matrix adhesion","c(""GO:0001952"", ""GO:0061302"")"
"75","GO:0031639","0.000972081243590194","GO:BP","plasminogen activation","GO:0031638"
"76","GO:0030194","0.00104033477039619","GO:BP","positive regulation of blood coagulation","c(""GO:0007596"", ""GO:0030193"", ""GO:0050820"", ""GO:0090303"", ""GO:1900048"")"
"77","GO:1900048","0.00104033477039619","GO:BP","positive regulation of hemostasis","c(""GO:0007599"", ""GO:0048518"", ""GO:1900046"")"
"78","GO:0040017","0.00104033477039619","GO:BP","positive regulation of locomotion","c(""GO:0040011"", ""GO:0040012"", ""GO:0048518"")"
"79","GO:0035985","0.00104806880364758","GO:CC","senescence-associated heterochromatin focus","GO:0000792"
"80","GO:0048585","0.0010975910357788","GO:BP","negative regulation of response to stimulus","c(""GO:0048519"", ""GO:0048583"", ""GO:0050896"")"
"81","GO:0070161","0.00111930773762166","GO:CC","anchoring junction","GO:0030054"
"82","GO:0050820","0.0011799607255513","GO:BP","positive regulation of coagulation","c(""GO:0050817"", ""GO:0050818"", ""GO:0051240"")"
"83","GO:0010955","0.0011799607255513","GO:BP","negative regulation of protein processing","c(""GO:0016485"", ""GO:0045861"", ""GO:0070613"", ""GO:1903318"")"
"84","GO:1903318","0.0011799607255513","GO:BP","negative regulation of protein maturation","c(""GO:0010629"", ""GO:0051248"", ""GO:0051604"", ""GO:1903317"")"
"85","GO:0010628","0.0011799607255513","GO:BP","positive regulation of gene expression","c(""GO:0010467"", ""GO:0010468"", ""GO:0010557"")"
"86","GO:0032103","0.0011799607255513","GO:BP","positive regulation of response to external stimulus","c(""GO:0009605"", ""GO:0032101"", ""GO:0048584"")"
"87","GO:0048513","0.00122018545268894","GO:BP","animal organ development","GO:0048856"
"88","GO:0048870","0.00125834600024914","GO:BP","cell motility","GO:0009987"
"89","GO:1901889","0.00125834600024914","GO:BP","negative regulation of cell junction assembly","c(""GO:0034329"", ""GO:0051129"", ""GO:1901888"")"
"90","GO:0051253","0.0013012492887806","GO:BP","negative regulation of RNA metabolic process","c(""GO:0010605"", ""GO:0016070"", ""GO:0045934"", ""GO:0051252"")"
"91","GO:0048523","0.0013449024972343","GO:BP","negative regulation of cellular process","c(""GO:0009987"", ""GO:0048519"", ""GO:0050794"")"
"92","GO:0048333","0.0013449024972343","GO:BP","mesodermal cell differentiation","c(""GO:0001707"", ""GO:0030154"")"
"93","GO:0065009","0.00147001732638286","GO:BP","regulation of molecular function","GO:0065007"
"94","REAC:R-HSA-75205","0.00148256640334544","REAC","Dissolution of Fibrin Clot","REAC:R-HSA-109582"
"95","GO:0032091","0.00149194928440727","GO:BP","negative regulation of protein binding","c(""GO:0043393"", ""GO:0051100"")"
"96","GO:0060429","0.00150329991450953","GO:BP","epithelium development","GO:0009888"
"97","GO:0045861","0.001513123407415","GO:BP","negative regulation of proteolysis","c(""GO:0006508"", ""GO:0030162"", ""GO:0051248"")"
"98","GO:0070528","0.00152405274561911","GO:BP","protein kinase C signaling","GO:0035556"
"99","GO:0016477","0.00152540390213126","GO:BP","cell migration","GO:0048870"
"100","GO:0060485","0.00154592525195905","GO:BP","mesenchyme development","c(""GO:0009888"", ""GO:0048513"")"
"101","GO:0009888","0.00163490935289188","GO:BP","tissue development","GO:0048856"
"102","GO:0007369","0.00163490935289188","GO:BP","gastrulation","GO:0048598"
"103","GO:0001953","0.00172040920219257","GO:BP","negative regulation of cell-matrix adhesion","c(""GO:0001952"", ""GO:0007160"", ""GO:0010812"")"
"104","GO:0032502","0.00174092828148885","GO:BP","developmental process","GO:0008150"
"105","GO:0045785","0.00174092828148885","GO:BP","positive regulation of cell adhesion","c(""GO:0007155"", ""GO:0030155"", ""GO:0048522"")"
"106","GO:0090402","0.00174092828148885","GO:BP","oncogene-induced cell senescence","GO:0090398"
"107","GO:0061302","0.00174092828148885","GO:BP","smooth muscle cell-matrix adhesion","GO:0007160"
"108","GO:0009967","0.00174758321272706","GO:BP","positive regulation of signal transduction","c(""GO:0007165"", ""GO:0009966"", ""GO:0010647"", ""GO:0023056"", ""GO:0048584"")"
"109","GO:0071711","0.0017614953301299","GO:BP","basement membrane organization","GO:0030198"
"110","GO:0009887","0.00176445636174935","GO:BP","animal organ morphogenesis","c(""GO:0009653"", ""GO:0048513"")"
"111","GO:0032101","0.00192168761083865","GO:BP","regulation of response to external stimulus","c(""GO:0009605"", ""GO:0048583"")"
"112","GO:0050790","0.00195007894124445","GO:BP","regulation of catalytic activity","GO:0065009"
"113","GO:0032570","0.00198901135669203","GO:BP","response to progesterone","c(""GO:0048545"", ""GO:1901654"")"
"114","GO:0048583","0.00205848901923997","GO:BP","regulation of response to stimulus","c(""GO:0050789"", ""GO:0050896"")"
"115","GO:0007275","0.00209793904035487","GO:BP","multicellular organism development","c(""GO:0032501"", ""GO:0048856"")"
"116","GO:0045934","0.00215161906817153","GO:BP","negative regulation of nucleobase-containing compound metabolic process","c(""GO:0006139"", ""GO:0019219"", ""GO:0031324"", ""GO:0051172"")"
"117","GO:0098903","0.00216954617804356","GO:BP","regulation of membrane repolarization during action potential","c(""GO:0060306"", ""GO:0086011"", ""GO:0098900"")"
"118","GO:0045596","0.00216954617804356","GO:BP","negative regulation of cell differentiation","c(""GO:0030154"", ""GO:0045595"", ""GO:0048523"", ""GO:0051093"")"
"119","GO:0010466","0.00216954617804356","GO:BP","negative regulation of peptidase activity","c(""GO:0045861"", ""GO:0051346"", ""GO:0052547"")"
"120","GO:0009966","0.0022257924935076","GO:BP","regulation of signal transduction","c(""GO:0007165"", ""GO:0010646"", ""GO:0023051"", ""GO:0048583"")"
"121","GO:0048869","0.00231385829610802","GO:BP","cellular developmental process","c(""GO:0009987"", ""GO:0032502"")"
"122","GO:0009605","0.00231385829610802","GO:BP","response to external stimulus","GO:0050896"
"123","GO:0085029","0.00231385829610802","GO:BP","extracellular matrix assembly","c(""GO:0022607"", ""GO:0030198"")"
"124","GO:0030154","0.00231385829610802","GO:BP","cell differentiation","GO:0048869"
"125","GO:0051246","0.00231385829610802","GO:BP","regulation of protein metabolic process","c(""GO:0019538"", ""GO:0051171"", ""GO:0060255"", ""GO:0080090"")"
"126","GO:0051347","0.00271173509702094","GO:BP","positive regulation of transferase activity","c(""GO:0043085"", ""GO:0051338"")"
"127","GO:0001568","0.00275518939428766","GO:BP","blood vessel development","c(""GO:0001944"", ""GO:0048856"")"
"128","GO:0014070","0.00276398196605847","GO:BP","response to organic cyclic compound","GO:0010033"
"129","GO:0070848","0.00276398196605847","GO:BP","response to growth factor","GO:0009719"
"130","GO:0001952","0.00286633356723941","GO:BP","regulation of cell-matrix adhesion","c(""GO:0007160"", ""GO:0010810"")"
"131","GO:0002696","0.00301497369057984","GO:BP","positive regulation of leukocyte activation","c(""GO:0002684"", ""GO:0002694"", ""GO:0045321"", ""GO:0050867"")"
"132","GO:0030334","0.00309231899682759","GO:BP","regulation of cell migration","c(""GO:0016477"", ""GO:2000145"")"
"133","GO:0097180","0.00313113212419337","GO:CC","serine protease inhibitor complex","GO:0097179"
"134","GO:0005886","0.00319395485026418","GO:CC","plasma membrane","c(""GO:0016020"", ""GO:0071944"")"
"135","GO:0005615","0.00319395485026418","GO:CC","extracellular space","c(""GO:0005576"", ""GO:0110165"")"
"136","GO:0042327","0.00321075400103189","GO:BP","positive regulation of phosphorylation","c(""GO:0016310"", ""GO:0042325"", ""GO:0045937"")"
"137","GO:0097179","0.00323809545647472","GO:CC","protease inhibitor complex","GO:1904090"
"138","GO:0071944","0.00323809545647472","GO:CC","cell periphery","GO:0110165"
"139","GO:0010543","0.00325098601503017","GO:BP","regulation of platelet activation","c(""GO:0030168"", ""GO:0050865"")"
"140","GO:1901724","0.00325098601503017","GO:BP","positive regulation of cell proliferation involved in kidney development","c(""GO:0008284"", ""GO:0072111"", ""GO:1901722"")"
"141","GO:0098609","0.00325098601503017","GO:BP","cell-cell adhesion","GO:0007155"
"142","GO:0035987","0.00325098601503017","GO:BP","endodermal cell differentiation","c(""GO:0001706"", ""GO:0030154"")"
"143","GO:0001944","0.00333001371609823","GO:BP","vasculature development","c(""GO:0048731"", ""GO:0072359"")"
"144","GO:0010171","0.00338059907531207","GO:BP","body morphogenesis","GO:0009653"
"145","GO:0048646","0.00338275248597601","GO:BP","anatomical structure formation involved in morphogenesis","c(""GO:0009653"", ""GO:0032502"")"
"146","GO:0048584","0.00338275248597601","GO:BP","positive regulation of response to stimulus","c(""GO:0048518"", ""GO:0048583"", ""GO:0050896"")"
"147","GO:0007167","0.00368999061978007","GO:BP","enzyme-linked receptor protein signaling pathway","GO:0007166"
"148","GO:1902895","0.00368999061978007","GO:BP","positive regulation of miRNA transcription","c(""GO:0045893"", ""GO:0061614"", ""GO:1902893"", ""GO:2000630"")"
"149","GO:0030168","0.00370811893127731","GO:BP","platelet activation","c(""GO:0001775"", ""GO:0007596"")"
"150","GO:1902531","0.00377673240766507","GO:BP","regulation of intracellular signal transduction","c(""GO:0009966"", ""GO:0035556"")"
"151","GO:2001238","0.00382231089159161","GO:BP","positive regulation of extrinsic apoptotic signaling pathway","c(""GO:0097191"", ""GO:2001235"", ""GO:2001236"")"
"152","GO:2001235","0.00416264861016572","GO:BP","positive regulation of apoptotic signaling pathway","c(""GO:0009967"", ""GO:0043065"", ""GO:0097190"", ""GO:2001233"")"
"153","GO:0051248","0.00416264861016572","GO:BP","negative regulation of protein metabolic process","c(""GO:0010605"", ""GO:0019538"", ""GO:0051172"", ""GO:0051246"")"
"154","GO:0010951","0.00423802802308836","GO:BP","negative regulation of endopeptidase activity","c(""GO:0010466"", ""GO:0052548"")"
"155","WP:WP560","0.00425087277280586","WP","TGF-beta receptor signaling","WP:000000"
"156","WP:WP2848","0.00425087277280586","WP","Pluripotent stem cell differentiation pathway","WP:000000"
"157","WP:WP4816","0.00425087277280586","WP","TGF-beta receptor signaling in skeletal dysplasias","WP:000000"
"158","WP:WP272","0.00425087277280586","WP","Blood clotting cascade","WP:000000"
"159","WP:WP428","0.00425087277280586","WP","Wnt signaling","WP:000000"
"160","GO:2000145","0.00432814391619574","GO:BP","regulation of cell motility","c(""GO:0040012"", ""GO:0048870"", ""GO:0050794"")"
"161","GO:0010647","0.00433134631488373","GO:BP","positive regulation of cell communication","c(""GO:0007154"", ""GO:0010646"", ""GO:0048522"")"
"162","GO:0023056","0.00433134631488373","GO:BP","positive regulation of signaling","c(""GO:0023051"", ""GO:0023052"", ""GO:0048518"")"
"163","GO:0002694","0.00442914207904241","GO:BP","regulation of leukocyte activation","c(""GO:0002682"", ""GO:0045321"", ""GO:0050865"")"
"164","GO:0040011","0.00442914207904241","GO:BP","locomotion","GO:0008150"
"165","GO:0001706","0.00466535682284342","GO:BP","endoderm formation","c(""GO:0001704"", ""GO:0007492"")"
"166","GO:0010557","0.00466535682284342","GO:BP","positive regulation of macromolecule biosynthetic process","c(""GO:0009059"", ""GO:0010556"", ""GO:0010604"", ""GO:0031328"")"
"167","GO:0050921","0.00471769385751804","GO:BP","positive regulation of chemotaxis","c(""GO:0006935"", ""GO:0032103"", ""GO:0040017"", ""GO:0050920"")"
"168","GO:2000630","0.00481216214588302","GO:BP","positive regulation of miRNA metabolic process","c(""GO:0010586"", ""GO:0051254"", ""GO:2000628"")"
"169","GO:0010812","0.00481216214588302","GO:BP","negative regulation of cell-substrate adhesion","c(""GO:0007162"", ""GO:0010810"", ""GO:0031589"")"
"170","GO:0006950","0.00486582077546556","GO:BP","response to stress","GO:0050896"
"171","GO:0045937","0.00487292207732905","GO:BP","positive regulation of phosphate metabolic process","c(""GO:0006796"", ""GO:0010562"", ""GO:0019220"")"
"172","GO:0010562","0.00487292207732905","GO:BP","positive regulation of phosphorus metabolic process","c(""GO:0006793"", ""GO:0031325"", ""GO:0051174"")"
"173","GO:1905208","0.00487292207732905","GO:BP","negative regulation of cardiocyte differentiation","c(""GO:0035051"", ""GO:0045596"", ""GO:0051241"", ""GO:1905207"")"
"174","GO:0090303","0.00487292207732905","GO:BP","positive regulation of wound healing","c(""GO:0042060"", ""GO:0061041"", ""GO:1903036"")"
"175","GO:0048548","0.00487292207732905","GO:BP","regulation of pinocytosis","c(""GO:0006907"", ""GO:0030100"")"
"176","GO:0009410","0.00503122262106818","GO:BP","response to xenobiotic stimulus","GO:0042221"
"177","GO:0033674","0.0050629650302432","GO:BP","positive regulation of kinase activity","c(""GO:0042327"", ""GO:0043549"", ""GO:0051347"")"
"178","GO:1901700","0.00506339176070722","GO:BP","response to oxygen-containing compound","GO:0042221"
"179","GO:0032102","0.00506386632025322","GO:BP","negative regulation of response to external stimulus","c(""GO:0009605"", ""GO:0032101"", ""GO:0048585"")"
"180","GO:0040012","0.00513795500454678","GO:BP","regulation of locomotion","c(""GO:0040011"", ""GO:0050789"")"
"181","GO:1904090","0.0051824574385722","GO:CC","peptidase inhibitor complex","GO:0032991"
"182","GO:0005576","0.0051824574385722","GO:CC","extracellular region","GO:0110165"
"183","GO:0043086","0.00520772998640486","GO:BP","negative regulation of catalytic activity","c(""GO:0044092"", ""GO:0050790"")"
"184","GO:0048731","0.00520772998640486","GO:BP","system development","c(""GO:0007275"", ""GO:0048856"")"
"185","KEGG:04350","0.00525070636747261","KEGG","TGF-beta signaling pathway","KEGG:00000"
"186","KEGG:04510","0.00525070636747261","KEGG","Focal adhesion","KEGG:00000"
"187","KEGG:05205","0.00525070636747261","KEGG","Proteoglycans in cancer","KEGG:00000"
"188","GO:0031638","0.00535550041175338","GO:BP","zymogen activation","GO:0016485"
"189","GO:0030213","0.00535874371047476","GO:BP","hyaluronan biosynthetic process","c(""GO:0006024"", ""GO:0030212"")"
"190","GO:0061029","0.00535874371047476","GO:BP","eyelid development in camera-type eye","c(""GO:0043010"", ""GO:0048856"")"
"191","GO:0098636","0.00543618194863267","GO:CC","protein complex involved in cell adhesion","GO:0032991"
"192","GO:0042221","0.00551166408892137","GO:BP","response to chemical","GO:0050896"
"193","GO:2001236","0.00563975344633013","GO:BP","regulation of extrinsic apoptotic signaling pathway","c(""GO:0097191"", ""GO:2001233"")"
"194","REAC:R-HSA-2473224","0.00570845614504948","REAC","Antagonism of Activin by Follistatin","REAC:R-HSA-1502540"
"195","GO:0031328","0.00577408552726508","GO:BP","positive regulation of cellular biosynthetic process","c(""GO:0009891"", ""GO:0031325"", ""GO:0031326"", ""GO:0044249"")"
"196","GO:0051338","0.00586378719279907","GO:BP","regulation of transferase activity","GO:0050790"
"197","GO:0001818","0.00586378719279907","GO:BP","negative regulation of cytokine production","c(""GO:0001816"", ""GO:0001817"", ""GO:0010629"", ""GO:0051241"")"
"198","GO:0014910","0.00586378719279907","GO:BP","regulation of smooth muscle cell migration","c(""GO:0014909"", ""GO:0030334"")"
"199","GO:0048518","0.00593597348321734","GO:BP","positive regulation of biological process","c(""GO:0008150"", ""GO:0050789"")"
"200","GO:0032640","0.00593597348321734","GO:BP","tumor necrosis factor production","GO:0071706"
"201","GO:0030509","0.00593597348321734","GO:BP","BMP signaling pathway","c(""GO:0007178"", ""GO:0071773"")"
"202","GO:0070613","0.00593597348321734","GO:BP","regulation of protein processing","c(""GO:0016485"", ""GO:0030162"", ""GO:1903317"")"
"203","GO:0032680","0.00593597348321734","GO:BP","regulation of tumor necrosis factor production","c(""GO:0032640"", ""GO:1903555"")"
"204","GO:0009891","0.00593597348321734","GO:BP","positive regulation of biosynthetic process","c(""GO:0009058"", ""GO:0009889"", ""GO:0009893"")"
"205","GO:1901722","0.00593597348321734","GO:BP","regulation of cell proliferation involved in kidney development","c(""GO:0042127"", ""GO:0072111"")"
"206","GO:0010763","0.00593597348321734","GO:BP","positive regulation of fibroblast migration","c(""GO:0010761"", ""GO:0010762"", ""GO:0030335"")"
"207","GO:1902893","0.00652670844008154","GO:BP","regulation of miRNA transcription","c(""GO:0061614"", ""GO:0140747"", ""GO:2000628"")"
"208","GO:1903555","0.00652670844008154","GO:BP","regulation of tumor necrosis factor superfamily cytokine production","c(""GO:0001817"", ""GO:0071706"")"
"209","GO:0071706","0.00652670844008154","GO:BP","tumor necrosis factor superfamily cytokine production","GO:0001816"
"210","GO:0006935","0.00652670844008154","GO:BP","chemotaxis","c(""GO:0042221"", ""GO:0042330"")"
"211","GO:0042330","0.00658512261536281","GO:BP","taxis","c(""GO:0009605"", ""GO:0040011"")"
"212","GO:1903317","0.00669736314056953","GO:BP","regulation of protein maturation","c(""GO:0010468"", ""GO:0051246"", ""GO:0051604"")"
"213","GO:0061614","0.00669736314056953","GO:BP","miRNA transcription","c(""GO:0010586"", ""GO:0098781"")"
"214","GO:0023051","0.00684964251436405","GO:BP","regulation of signaling","c(""GO:0023052"", ""GO:0050789"")"
"215","GO:0008285","0.00685577692735994","GO:BP","negative regulation of cell population proliferation","c(""GO:0008283"", ""GO:0042127"", ""GO:0048523"")"
"216","GO:0001707","0.00689231404246809","GO:BP","mesoderm formation","c(""GO:0001704"", ""GO:0048332"")"
"217","GO:0048771","0.00689231404246809","GO:BP","tissue remodeling","GO:0032501"
"218","GO:0071772","0.00689231404246809","GO:BP","response to BMP","GO:0070848"
"219","GO:0071773","0.00689231404246809","GO:BP","cellular response to BMP stimulus","c(""GO:0071363"", ""GO:0071772"")"
"220","GO:0014909","0.00689231404246809","GO:BP","smooth muscle cell migration","GO:0014812"
"221","GO:0010646","0.00689231404246809","GO:BP","regulation of cell communication","c(""GO:0007154"", ""GO:0050794"")"
"222","GO:0150118","0.00689231404246809","GO:BP","negative regulation of cell-substrate junction organization","c(""GO:0051129"", ""GO:0150115"", ""GO:0150116"")"
"223","GO:0048468","0.00689231404246809","GO:BP","cell development","c(""GO:0030154"", ""GO:0048856"", ""GO:0048869"")"
"224","GO:0052548","0.00689231404246809","GO:BP","regulation of endopeptidase activity","GO:0052547"
"225","GO:0051895","0.00689231404246809","GO:BP","negative regulation of focal adhesion assembly","c(""GO:0001953"", ""GO:0048041"", ""GO:0051893"", ""GO:0150118"", ""GO:1901889"")"
"226","GO:0031093","0.00698849794867844","GO:CC","platelet alpha granule lumen","c(""GO:0031091"", ""GO:0034774"")"
"227","GO:0001934","0.00701815131522793","GO:BP","positive regulation of protein phosphorylation","c(""GO:0001932"", ""GO:0006468"", ""GO:0031401"", ""GO:0042327"")"
"228","GO:0010033","0.00701815131522793","GO:BP","response to organic substance","GO:0042221"
"229","GO:0051346","0.00704387863534666","GO:BP","negative regulation of hydrolase activity","c(""GO:0043086"", ""GO:0051336"")"
"230","GO:0043408","0.0070752000660933","GO:BP","regulation of MAPK cascade","c(""GO:0000165"", ""GO:1902531"")"
